股票代码,会计年度,接待次数,接待机构数,接待机构人员数,基金管理公司,证券公司,保险资产管理公司,寿险公司,投资公司,资产管理公司,期货经纪公司,其它
002863,2012,0,0,0,0,0,0,0,0,0,0,0
002863,2013,0,0,0,0,0,0,0,0,0,0,0
002863,2014,0,0,0,0,0,0,0,0,0,0,0
002863,2015,0,0,0,0,0,0,0,0,0,0,0
002863,2016,0,0,0,0,0,0,0,0,0,0,0
002863,2017,0,0,0,0,0,0,0,0,0,0,0
002863,2018,0,0,0,0,0,0,0,0,0,0,0
002863,2019,0,0,0,0,0,0,0,0,0,0,0
002884,2010,0,0,0,0,0,0,0,0,0,0,0
002884,2011,0,0,0,0,0,0,0,0,0,0,0
002884,2012,0,0,0,0,0,0,0,0,0,0,0
002884,2013,0,0,0,0,0,0,0,0,0,0,0
002884,2014,0,0,0,0,0,0,0,0,0,0,0
002884,2015,0,0,0,0,0,0,0,0,0,0,0
002884,2016,0,0,0,0,0,0,0,0,0,0,0
002884,2017,0,0,0,0,0,0,0,0,0,0,0
002884,2018,1,0,0,0,0,0,0,0,0,0,0
002884,2019,8,15,23,2,4,1,0,3,0,0,2
300576,2010,0,0,0,0,0,0,0,0,0,0,0
300576,2011,0,0,0,0,0,0,0,0,0,0,0
300576,2012,0,0,0,0,0,0,0,0,0,0,0
300576,2013,0,0,0,0,0,0,0,0,0,0,0
300576,2014,0,0,0,0,0,0,0,0,0,0,0
300576,2015,0,0,0,0,0,0,0,0,0,0,0
300576,2016,0,0,0,0,0,0,0,0,0,0,0
300576,2017,0,0,0,0,0,0,0,0,0,0,0
300576,2018,0,0,0,0,0,0,0,0,0,0,0
300576,2019,0,0,0,0,0,0,0,0,0,0,0
300037,2010,0,0,0,0,0,0,0,0,0,0,0
300037,2011,0,0,0,0,0,0,0,0,0,0,0
300037,2012,0,0,0,0,0,0,0,0,0,0,0
300037,2013,0,0,0,0,0,0,0,0,0,0,0
300037,2014,0,0,0,0,0,0,0,0,0,0,0
300037,2015,0,0,0,0,0,0,0,0,0,0,0
300037,2016,0,0,0,0,0,0,0,0,0,0,0
300037,2017,0,0,0,0,0,0,0,0,0,0,0
300037,2018,1,30,37,4,8,0,0,2,7,0,3
300037,2019,13,235,332,59,76,1,1,35,18,1,35
300066,2010,0,0,0,0,0,0,0,0,0,0,0
300066,2011,0,0,0,0,0,0,0,0,0,0,0
300066,2012,0,0,0,0,0,0,0,0,0,0,0
300066,2013,0,0,0,0,0,0,0,0,0,0,0
300066,2014,0,0,0,0,0,0,0,0,0,0,0
300066,2015,0,0,0,0,0,0,0,0,0,0,0
300066,2016,0,0,0,0,0,0,0,0,0,0,0
300066,2017,0,0,0,0,0,0,0,0,0,0,0
300066,2018,0,0,0,0,0,0,0,0,0,0,0
300066,2019,1,2,2,0,1,0,1,0,0,0,0
300170,2010,0,0,0,0,0,0,0,0,0,0,0
300170,2011,0,0,0,0,0,0,0,0,0,0,0
300170,2012,0,0,0,0,0,0,0,0,0,0,0
300170,2013,0,0,0,0,0,0,0,0,0,0,0
300170,2014,0,0,0,0,0,0,0,0,0,0,0
300170,2015,0,0,0,0,0,0,0,0,0,0,0
300170,2016,0,0,0,0,0,0,0,0,0,0,0
300170,2017,0,0,0,0,0,0,0,0,0,0,0
300170,2018,0,0,0,0,0,0,0,0,0,0,0
300170,2019,1,20,20,9,6,1,0,2,1,0,1
000572,2010,0,0,0,0,0,0,0,0,0,0,0
000572,2011,0,0,0,0,0,0,0,0,0,0,0
000572,2012,0,0,0,0,0,0,0,0,0,0,0
000572,2013,0,0,0,0,0,0,0,0,0,0,0
000572,2014,0,0,0,0,0,0,0,0,0,0,0
000572,2015,0,0,0,0,0,0,0,0,0,0,0
000572,2016,0,0,0,0,0,0,0,0,0,0,0
000572,2017,0,0,0,0,0,0,0,0,0,0,0
000572,2018,0,0,0,0,0,0,0,0,0,0,0
000572,2019,0,0,0,0,0,0,0,0,0,0,0
000617,2010,0,0,0,0,0,0,0,0,0,0,0
000617,2011,0,0,0,0,0,0,0,0,0,0,0
000617,2012,0,0,0,0,0,0,0,0,0,0,0
000617,2013,0,0,0,0,0,0,0,0,0,0,0
000617,2014,0,0,0,0,0,0,0,0,0,0,0
000617,2015,0,0,0,0,0,0,0,0,0,0,0
000617,2016,0,0,0,0,0,0,0,0,0,0,0
000617,2017,0,0,0,0,0,0,0,0,0,0,0
000617,2018,0,0,0,0,0,0,0,0,0,0,0
000617,2019,0,0,0,0,0,0,0,0,0,0,0
200468,2010,0,0,0,0,0,0,0,0,0,0,0
200468,2011,0,0,0,0,0,0,0,0,0,0,0
200468,2012,0,0,0,0,0,0,0,0,0,0,0
